ID|CONGLOMERADO|NSELV|VIVREM|NSELVREMP|ID_MUESTRA|ESTRATO|DOMINIO|PERIODO|CCDD|DEPARTAMENTO|CCPP|PROVINCIA|CCDI|DISTRITO|CODCCPP|NOMCCPP|ZONA|MANZANA|AER_INI|AER_FIN|AREA|GPS_LONG|GPS_LAT|GPS_ALT|RESVIV|RFINAL|VIVIENDA|TOHOGAR|HOGAR_ID|C1P101|C1P101_O|C1P102|C1P102_O|C1P103|C1P103_O|C1P104|C1P104_O|C1P105|C1P105_O|C1P106|C1P106_O|C1P107|C1P107_O|C1P108|C1P109|C1P110_1|C1P110_2|C1P110_3|C1P110_4|C1P110_5|C1P110_6|C1P110_7|C1P111|C1P112_1|C1P112_1_COD|C1P112_2|C1P112_2_COD|C1P112_3|C1P112_3_COD|C1P200|FACTOR_VIV
7660|05902|0009|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|043|||1|-78.512670|-7.1454843|2738.0|1|1|001|1|1|1||1||1||5||1||1||1||4|3|1|1|2|2|2|2|1|2|||||||1|4810.55151984834
7684|05902|0033|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|043|||1|-78.512351|-7.1459263|2659.0|1|1|002|1|1|1||1||1||3||1||1||1||16|10|1|1|1|1|1|1|1|2|||||||1|4810.55151984834
7696|05902|0045|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|044|||1|-78.512262|-7.1462278|2732.0|1|1|003|1|1|1||1||1||5||1||1||1||2|1|1|2|2|2|2|2|1|2|||||||1|4810.55151984834
7720|05902|0069|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|044|||1|-78.511714|-7.1471709|2727.0|1|1|004|1|1|1||1||1||5||1||1||1||3|1|2|2|2|1|2|1|1|2|||||||1|4810.55151984834
7733|05902|0082|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|044|||1|-78.512399|-7.1465125|2733.0|1|1|005|1|1|2||1||1||3||1||1||1||4|2|1|1|2|2|1|1|1|2|||||||2|4810.55151984834
7757|05902|0106|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|047|||1|-78.513297|-7.1462795|2731.0|1|1|006|1|1|1||1||1||3||1||1||1||2|1|2|1|2|2|2|2|1|2|||||||1|4810.55151984834
7793|05902|0142|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|047|||1|-78.513395|-7.1467657|2718.0|1|1|008|1|1|4||3||4||6||1||2||2||2|1|2|2|2|2|2|2|1|2|||||||1|4810.55151984834
7672|05902|0021|1|0118|1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00300|043|||1|-78.512327|-7.1458755|2761.0|1|1|009|1|1|2||1||1||5||1||1||1||5|4|1|2|1|1|1|2|1|2|||||||3|4810.55151984834
7798|05913|0002|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|057|||1|-78.513097|-7.1473050|2736.0|1|1|001|1|1|1||1||1||3||1||1||1||11|6|1|1|1|1|2|1|1|2|||||||2|4810.55151984834
7833|05913|0037|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|058|||1|-78.512907|-7.1478867|2726.0|1|1|002|1|1|1||1||1||3||1||1||1||8|5|1|1|1|1|1|1|1|2|||||||2|4810.55151984834
7851|05913|0055|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|059|||1|-78.513425|-7.1479975|2740.0|1|1|003|1|1|1||1||1||3||1||1||1||8|4|1|1|1|1|1|2|1|2|||||||1|4810.55151984834
7884|05913|0088|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|060|||1|-78.513435|-7.1484564|2731.0|1|1|004|1|1|1||1||1||5||1||1||2||7|5|2|2|2|2|2|1|1|2|||||||5|4810.55151984834
7900|05913|0104|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|060|||1|-78.512995|-7.1492195|2724.0|1|1|005|1|1|2||1||1||1||1||1||1||4|3|1|2|1|1|1|1|1|2|||||||2|4810.55151984834
7934|05913|0138|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|061|||1|-78.512914|-7.1491901|2735.0|1|1|006|2|1|1||1||4||5||1||1||1||2|1|2|2|2|2|2|2|2|2|||||||2|4810.55151984834
7934|05913|0138|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|061|||1|-78.512914|-7.1491901|2735.0|1|1|006|2|2|1||1||4||5||1||1||1||3|1|1|2|2|2|1|2|1|2|||||||2|4810.55151984834
7951|05913|0155|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|061|||1|-78.512720|-7.1492089|2732.0|1|1|007|1|1|2||1||1||1||1||1||1||4|3|1|2|1|1|1|2|1|1|CAJAMARCA|06|SANTA CRUZ|13|SANTA CRUZ|01|2|4810.55151984834
7985|05913|0189|0||1|||1|06|CAJAMARCA|01|CAJAMARCA|01|CAJAMARCA|0001|CAJAMARCA|00400|061|||1|-78.512707|-7.1499899|2735.0|1|1|008|1|1|1||1||1||5||1||1||1||3|1|2|2|2|2|2|2|1|2|||||||2|4810.55151984834
9643|0630601|0010|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|001C|||4|-78.131547|-7.4669750|2015.0|1|1|001|1|1|1||4||3||6||1||1||1||2|1|1|2|2|2|2|2|1|2|||||||2|4671.56925571087
9662|0630601|0029|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|002B|||4|-78.130267|-7.4648808|2021.0|1|1|002|1|1|1||3||3||6||1||1||1||2|1|2|2|2|2|2|2|1|2|||||||2|4671.56925571087
9694|0630601|0061|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|006|||4|-78.129440|-7.4631220|2027.0|1|1|003|1|1|1||4||3||6||1||1||1||3|2|2|2|2|2|2|2|1|2|||||||1|4671.56925571087
9707|0630601|0074|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|008|||4|-78.131065|-7.4658219|2039.0|1|1|004|1|1|1||3||3||5||1||1||1||6|2|2|2|2|2|2|2|1|2|||||||2|4671.56925571087
9743|0630601|0110|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|012|||4|-78.128033|-7.4624731|2024.0|1|1|005|1|1|1||1||1||5||1||1||1||5|2|1|2|2|2|2|2|1|2|||||||1|4671.56925571087
9762|0630601|0129|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|014|||4|-78.126102|-7.4625627|2021.0|1|1|006|1|1|1||3||3||6||1||1||1||3|1|1|2|2|2|2|2|2|1|CAJAMARCA|06|SAN MARCOS|10|EDUARDO VILLANUEVA|03|1|4671.56925571087
9809|0630601|0176|0||1|||4|06|CAJAMARCA|10|SAN MARCOS|03|EDUARDO VILLANUEVA|0001|LA GRAMA|00100|016|||4|-78.126868|-7.4631601|2018.0|1|1|008|1|1|1||1||1||5||1||1||1||3|2|2|2|2|2|2|2|1|1|CAJAMARCA|06|SAN MARCOS|10|EDUARDO VILLANUEVA|03|1|4671.56925571087
